area_key,area_vendor,report_year,report_total_sold,lb_total_sold,total_sold_match,report_days_on_market,lb_days_on_market,days_on_market_match,report_median_sale,lb_median_sale,median_sale_match,report_avg_list,lb_avg_list,avg_list_match,report_avg_sale,lb_avg_sale,avg_sale_match,report_list_ratio,lb_list_ratio,list_ratio_match,area_boundary_id,area_subtype,report_quarter
Monterey-Monterey Peninsula-Pebble Beach,,2019,36.0,,,128.0,,,2062500.0,,,4650414.0,,,3638903.0,,,,,,5e760158203b81749b82f32c,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pebble Beach,,2020,56.0,,,53.0,,,2187500.0,,,3527411.0,,,3290579.0,,,,,,5e760158203b81749b82f32c,SingleFamilyResidence,4
Monterey-Monterey Peninsula-Pebble Beach,,2021,36.0,,,45.0,,,2662500.0,,,4933417.0,,,4217804.0,,,,,,5e760158203b81749b82f32c,SingleFamilyResidence,4
NYC-All NYC-Downtown,,2020,714.0,,,,,,,,,,,,2295000.0,,,,,,5c2e1da1ce62d600016c26b0,SingleFamilyResidence,4
NYC-All NYC-Downtown,,2021,1310.0,,,,,,,,,,,,1920000.0,,,,,,5c2e1da1ce62d600016c26b0,SingleFamilyResidence,4
NYC-All NYC-FiDi / Battery Park,,2020,93.0,,,,,,,,,,,,1485000.0,,,,,,5c2e34dbac67c40001145f74,SingleFamilyResidence,4
NYC-All NYC-FiDi / Battery Park,,2021,230.0,,,,,,,,,,,,1295000.0,,,,,,5c2e34dbac67c40001145f74,SingleFamilyResidence,4
NYC-All NYC-Midtown,,2020,250.0,,,,,,,,,,,,1294500.0,,,,,,56699b2edd4700202391b03a,SingleFamilyResidence,4
NYC-All NYC-Midtown,,2021,598.0,,,,,,,,,,,,1203500.0,,,,,,56699b2edd4700202391b03a,SingleFamilyResidence,4
NYC-All NYC-New York,,2021,4047.0,,,112.0,,,,,,,,,2000000.0,,,,,,5afa1ed3435ebd270db32556,SingleFamilyResidence,4
NYC-All NYC-Upper East Side,,2020,493.0,,,,,,,,,,,,1865000.0,,,,,,56699b55dd4700202391bc65,SingleFamilyResidence,4
NYC-All NYC-Upper East Side,,2021,911.0,,,,,,,,,,,,2140000.0,,,,,,56699b55dd4700202391bc65,SingleFamilyResidence,4
NYC-All NYC-Upper West Side,,2020,410.0,,,,,,,,,,,,2275000.0,,,,,,56699b2edd4700202391b03d,SingleFamilyResidence,4
NYC-All NYC-Upper West Side,,2021,676.0,,,,,,,,,,,,2155000.0,,,,,,56699b2edd4700202391b03d,SingleFamilyResidence,4
NYC-All NYC-Uptown,,2020,178.0,,,,,,,,,,,,871000.0,,,,,,5c2e2f3cac67c40001145f73,SingleFamilyResidence,4
NYC-All NYC-Uptown,,2021,322.0,,,,,,,,,,,,905000.0,,,,,,5c2e2f3cac67c40001145f73,SingleFamilyResidence,4
Pasadena-Altadena,,2018,92.0,,,40.0,,,836900.0,,,,,,971585.0,,,,,,5e54246f09747e0001033b9c,SingleFamilyResidence,4
Pasadena-Altadena,,2019,95.0,,,36.0,,,854000.0,,,,,,1035835.0,,,,,,5e54246f09747e0001033b9c,SingleFamilyResidence,4
Pasadena-Altadena,,2020,90.0,,,28.0,,,969450.0,,,,,,1129689.0,,,,,,5e54246f09747e0001033b9c,SingleFamilyResidence,4
Pasadena-Altadena,,2021,91.0,,,23.0,,,1175000.0,,,,,,1272996.0,,,,,,5e54246f09747e0001033b9c,SingleFamilyResidence,4
Pasadena-Arcadia,,2018,77.0,,,61.0,,,1200000.0,,,,,,1651347.0,,,,,,5e54246fc278a80001d14ae7,SingleFamilyResidence,4
Pasadena-Arcadia,,2019,101.0,,,67.0,,,1250000.0,,,,,,1626017.0,,,,,,5e54246fc278a80001d14ae7,SingleFamilyResidence,4
Pasadena-Arcadia,,2020,96.0,,,43.0,,,1274000.0,,,,,,1550553.0,,,,,,5e54246fc278a80001d14ae7,SingleFamilyResidence,4
Pasadena-Arcadia,,2021,112.0,,,38.0,,,1590000.0,,,,,,1856059.0,,,,,,5e54246fc278a80001d14ae7,SingleFamilyResidence,4
Pasadena-Glendale,,2018,113.0,,,45.0,,,1040000.0,,,,,,1109680.0,,,,,,5e542479fba6a10001ca7987,SingleFamilyResidence,4
Pasadena-Glendale,,2019,129.0,,,43.0,,,1035000.0,,,,,,1093424.0,,,,,,5e542479fba6a10001ca7987,SingleFamilyResidence,4
Pasadena-Glendale,,2020,135.0,,,32.0,,,1125000.0,,,,,,1212224.0,,,,,,5e542479fba6a10001ca7987,SingleFamilyResidence,4
Pasadena-Glendale,,2021,150.0,,,25.0,,,1294444.0,,,,,,1414165.0,,,,,,5e542479fba6a10001ca7987,SingleFamilyResidence,4
Pasadena-La Canada Flintridge,,2018,60.0,,,54.0,,,1637500.0,,,,,,1972675.0,,,,,,5e54247bebb8790001c7a5bf,SingleFamilyResidence,4
Pasadena-La Canada Flintridge,,2019,61.0,,,59.0,,,1900000.0,,,,,,2018815.0,,,,,,5e54247bebb8790001c7a5bf,SingleFamilyResidence,4
